Samples,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,Watering_Regm
SRR5224661,0.0000000000,0.0000000000,0.3780663781,0.0315151515,0.0000000000,0.1107647908,0.0000000000,0.0054256854,0.0009235209,0.0000000000,0.0052525253,0.0000000000,0.0000000000,0.1106493506,0.0158730159,0.0539105339,0.0136219336,0.0047907648,0.0050793651,0.2254545455,0.0000000000,0.0000000000,0.0077922078,0.0000000000,0.0308802309,0.0000000000,0
SRR5224670,0.0000000000,0.0000000000,0.0357904444,0.2694369201,0.0004610685,0.1388392600,0.0008068699,0.0096248055,0.0009797706,0.0000000000,0.0000000000,0.0001152671,0.0004034350,0.0801106564,0.0070312950,0.0076652642,0.0044954181,0.0021324419,0.0008645035,0.4247017463,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0165408334,0.0000000000,1
SRR5224675,0.0002310403,0.0000000000,0.0825391324,0.1873158898,0.0007508808,0.1570496159,0.0006931208,0.0400277248,0.0025414428,0.0000000000,0.0026569630,0.0000000000,0.0008664010,0.2330618610,0.0149598568,0.0600704673,0.0053139260,0.0044475250,0.0007508808,0.1747241957,0.0000000000,0.0001732802,0.0003465604,0.0000000000,0.0314792353,0.0000000000,1
SRR5224679,0.0000000000,0.0000000000,0.1469112303,0.1941512372,0.0000000000,0.0723308531,0.0002307204,0.0345503836,0.0016150430,0.0000000000,0.0025956048,0.0000000000,0.0031724058,0.1522178001,0.0128049836,0.0281478918,0.0042683279,0.0009228817,0.0030570456,0.3087616081,0.0005191210,0.0000000000,0.0000000000,0.0000000000,0.0337428621,0.0000000000,1
SRR5224690,0.0000000000,0.0000000000,0.0017890120,0.0277585411,0.0034048938,0.3841759003,0.0002885503,0.0020198523,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0003462604,0.0000000000,0.0375692521,0.0000000000,0.0000000000,0.0000000000,0.5312211450,0.0000000000,0.0000000000,0.0013850416,0.0000000000,0.0100415512,0.0000000000,0
SRR5224709,0.0010950377,0.0000000000,0.1174572071,0.2817705031,0.0005763357,0.0753847041,0.0008068699,0.0810327935,0.0017866405,0.0000000000,0.0043225174,0.0008068699,0.0023629762,0.1200507175,0.0243789983,0.0276641116,0.0059938908,0.0012679384,0.0078957985,0.2162411388,0.0000000000,0.0002881678,0.0000000000,0.0000000000,0.0284709815,0.0003458014,1
SRR5224713,0.0000000000,0.0000000000,0.2382683983,0.0682828283,0.0032323232,0.2137373737,0.0000000000,0.0224531025,0.0004040404,0.0000000000,0.0036940837,0.0012698413,0.0013275613,0.0573737374,0.0141991342,0.0346320346,0.0007503608,0.0221067821,0.0032900433,0.2350937951,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0798845599,0.0000000000,0
SRR5224720,0.0000000000,0.0000000000,0.0149546741,0.1735088631,0.0008083608,0.2315376176,0.0004619204,0.0057740054,0.0008083608,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0008083608,0.0000000000,0.2172180842,0.0000000000,0.0042150240,0.0000000000,0.3308505110,0.0000000000,0.0000000000,0.0009238409,0.0000000000,0.0181303770,0.0000000000,0
SRR5224722,0.000000e+00,0.000000e+00,1.145953e-01,1.746599e-01,1.383445e-03,1.575398e-01,8.070095e-04,2.876412e-02,5.187918e-04,0.000000e+00,0.000000e+00,5.764353e-05,8.646530e-04,3.435555e-02,1.539082e-02,1.152871e-02,2.882177e-03,6.571363e-03,2.190454e-03,4.003343e-01,6.340789e-04,5.187918e-04,0.000000e+00,0.000000e+00,4.640304e-02,0.000000e+00,1
SRR5224760,0.0000000000,0.0000000000,0.1632817909,0.0553888761,0.0013847219,0.2605008078,0.0161550889,0.0581006231,0.0021924763,0.0005192707,0.0002307870,0.0023078698,0.0017885991,0.1316639742,0.0000000000,0.0361758597,0.0017309024,0.0360604662,0.0021347796,0.1602815601,0.0000000000,0.0006346642,0.0000000000,0.0002307870,0.0692360951,0.0000000000,1
SRR5224772,0.0000000000,0.0002308669,0.2259609835,0.0653353342,0.0009234676,0.2062218631,0.0113124784,0.0604294124,0.0039824541,0.0004617338,0.0000000000,0.0020200854,0.0020778021,0.0939628304,0.0099849937,0.0432875447,0.0050213552,0.0434029782,0.0043287545,0.1347108392,0.0002308669,0.0002308669,0.0000000000,0.0001731502,0.0855361884,0.0001731502,1
SRR5224774,0.0000000000,0.0000000000,0.0353165214,0.3846153846,0.0000000000,0.3244849674,0.0000000000,0.0354896416,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0009810145,0.0149460442,0.0026545098,0.0319695308,0.0000000000,0.0003462404,0.0000000000,0.1588089330,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0103872122,0.0000000000,1
SRR5224775,0.000000000,0.000000000,0.315674180,0.054706866,0.002075287,0.085547933,0.001844699,0.021790511,0.001441171,0.000000000,0.000000000,0.001152937,0.003458811,0.055744509,0.045310428,0.038565746,0.006975269,0.022366980,0.003401164,0.196633424,0.000000000,0.000000000,0.000000000,0.000000000,0.143310082,0.000000000,0
SRR5224784,0.0000000000,0.0000000000,0.1285821369,0.1277172346,0.0009802226,0.1371158392,0.0013261835,0.0182782679,0.0000000000,0.0001729805,0.0019604451,0.0013838436,0.0035172692,0.2052124777,0.0151646197,0.0371907974,0.0076111399,0.0028253474,0.0000000000,0.2688692844,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0420919103,0.0000000000,1
SRR5224787,0.0006342251,0.0000000000,0.3374654059,0.0504497232,0.0007495387,0.1356088561,0.0141259225,0.0524100554,0.0023062731,0.0002882841,0.0000000000,0.0004035978,0.0012684502,0.0984778598,0.0106088561,0.0429543358,0.0081872694,0.0136070111,0.0046125461,0.1580950185,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0677467712,0.0000000000,0
SRR5224793,0.0000000000,0.0000000000,0.2836363636,0.0638961039,0.0006926407,0.0798268398,0.0084271284,0.0600288600,0.0004617605,0.0000000000,0.0000000000,0.0019624820,0.0036940837,0.0718614719,0.0289177489,0.0608946609,0.0051370851,0.0058297258,0.0022510823,0.2383261183,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0841558442,0.0000000000,0
SRR5224810,0.0012685965,0.0000000000,0.3309883520,0.1005074386,0.0000000000,0.0547803022,0.0008072887,0.0418636835,0.0001729904,0.0000000000,0.0015569139,0.0021335486,0.0042670972,0.1035059393,0.0517241379,0.0174720332,0.0062853189,0.0132049360,0.0035174720,0.2108176681,0.0013262599,0.0000000000,0.0000000000,0.0000000000,0.0538000231,0.0000000000,0
SRR5224813,0.0000000000,0.0000000000,0.2363552533,0.0583251686,0.0009797706,0.2108812172,0.0001152671,0.0231686934,0.0021900755,0.0000000000,0.0000000000,0.0020171748,0.0000000000,0.0590167714,0.0253011354,0.0220160221,0.0053599216,0.0131404530,0.0013832056,0.2240793038,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1156705665,0.0000000000,1
SRR5224822,0.0002309869,0.0005774672,0.3172027487,0.0549171335,0.0024831091,0.1049835422,0.0207310735,0.0533579719,0.0012704279,0.0005774672,0.0000000000,0.0021366287,0.0017324017,0.0640411157,0.0448114569,0.0264479991,0.0148986545,0.0259860253,0.0072183404,0.1819021771,0.0000000000,0.0006352140,0.0000000000,0.0000000000,0.0738580586,0.0000000000,0
SRR5224827,0.000000e+00,0.000000e+00,2.237214e-02,2.607392e-01,0.000000e+00,3.026581e-01,1.729805e-04,1.035000e-01,5.766015e-05,0.000000e+00,0.000000e+00,0.000000e+00,1.902785e-03,6.400277e-03,2.133426e-03,2.600473e-02,1.729805e-04,2.075765e-03,0.000000e+00,2.414807e-01,0.000000e+00,2.883008e-04,0.000000e+00,0.000000e+00,3.004094e-02,0.000000e+00,1
SRR5224830,0.0000000000,0.0000000000,0.0313204276,0.0153712800,0.0002311471,0.2878936723,0.0045651546,0.0266396995,0.0006356544,0.0000000000,0.0001155735,0.0000000000,0.0002311471,0.0062409708,0.0007512280,0.0112106328,0.0000000000,0.0017336030,0.0000000000,0.5901184629,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0229413464,0.0000000000,0
SRR5224831,0.0000000000,0.0000000000,0.1203901426,0.1085588965,0.0000000000,0.2134241357,0.0019622554,0.0298955388,0.0000000000,0.0000000000,0.0004039938,0.0008079875,0.0053096324,0.0685058002,0.0183528597,0.0343971836,0.0076758816,0.0114272523,0.0005194206,0.3098055059,0.0001154268,0.0005771340,0.0000000000,0.0000000000,0.0678709528,0.0000000000,1
